[INFO]2022/09/22 17:12:38 core.go:65: data upload success.
[INFO]2022/09/22 17:12:59 core.go:65: data upload success.
[INFO]2022/09/22 17:13:20 core.go:65: data upload success.
[INFO]2022/09/22 17:13:41 core.go:65: data upload success.
[INFO]2022/09/22 17:14:02 core.go:65: data upload success.
[INFO]2022/09/22 17:14:23 core.go:65: data upload success.
[INFO]2022/09/22 17:14:44 core.go:65: data upload success.
[INFO]2022/09/22 17:15:05 core.go:65: data upload success.
[INFO]2022/09/22 17:15:26 core.go:65: data upload success.
[INFO]2022/09/22 17:15:47 core.go:65: data upload success.
[INFO]2022/09/22 17:16:08 core.go:65: data upload success.
[INFO]2022/09/22 17:16:30 core.go:65: data upload success.
[INFO]2022/09/22 17:16:51 core.go:65: data upload success.
[INFO]2022/09/22 17:17:12 core.go:65: data upload success.
[INFO]2022/09/22 17:17:33 core.go:65: data upload success.
[INFO]2022/09/22 17:17:54 core.go:65: data upload success.
[INFO]2022/09/22 17:18:15 core.go:65: data upload success.
[INFO]2022/09/22 17:19:38 core.go:65: data upload success.
[INFO]2022/09/22 17:20:38 core.go:65: data upload success.
[INFO]2022/09/22 17:21:38 core.go:65: data upload success.
[INFO]2022/09/22 17:22:38 core.go:65: data upload success.
[INFO]2022/09/22 17:23:38 core.go:65: data upload success.
[INFO]2022/09/22 17:24:38 core.go:65: data upload success.
[INFO]2022/09/22 17:25:38 core.go:65: data upload success.
[INFO]2022/09/22 17:26:38 core.go:65: data upload success.
[INFO]2022/09/22 17:27:38 core.go:65: data upload success.
[INFO]2022/09/22 17:28:38 core.go:65: data upload success.
[INFO]2022/09/22 17:29:38 core.go:65: data upload success.
[INFO]2022/09/22 17:30:38 core.go:65: data upload success.
[INFO]2022/09/22 17:31:38 core.go:65: data upload success.
[INFO]2022/09/22 17:32:38 core.go:65: data upload success.
[INFO]2022/09/22 17:33:38 core.go:65: data upload success.
[INFO]2022/09/22 17:34:38 core.go:65: data upload success.
[INFO]2022/09/22 17:35:38 core.go:65: data upload success.
[INFO]2022/09/22 18:06:34 core.go:65: nuclei installed.
[INFO]2022/09/23 15:23:33 core.go:65: nuclei installed.
[INFO]2022/09/23 15:26:20 core.go:65: data upload success.
[INFO]2022/09/23 15:28:49 core.go:65: data upload success.
[INFO]2022/09/23 15:31:14 core.go:65: data upload success.
[INFO]2022/09/23 15:33:49 core.go:65: data upload success.
[INFO]2022/09/23 15:36:24 core.go:65: data upload success.
[INFO]2022/09/23 15:38:48 core.go:65: data upload success.
[INFO]2022/09/23 15:41:20 core.go:65: data upload success.
[INFO]2022/09/23 15:43:55 core.go:65: data upload success.
[INFO]2022/09/23 15:46:21 core.go:65: data upload success.
[INFO]2022/09/23 15:48:34 core.go:65: data upload success.
[INFO]2022/09/23 15:51:07 core.go:65: data upload success.
[INFO]2022/09/23 15:53:41 core.go:65: data upload success.
[INFO]2022/09/23 15:56:07 core.go:65: data upload success.
[INFO]2022/09/23 15:58:37 core.go:65: data upload success.
[INFO]2022/09/23 16:01:17 core.go:65: data upload success.
[INFO]2022/09/23 16:03:40 core.go:65: data upload success.
[INFO]2022/09/23 16:06:11 core.go:65: data upload success.
[INFO]2022/09/23 16:08:49 core.go:65: data upload success.
[INFO]2022/09/23 16:11:14 core.go:65: data upload success.
[INFO]2022/09/23 16:13:38 core.go:65: data upload success.
[INFO]2022/09/23 16:16:20 core.go:65: data upload success.
[INFO]2022/09/23 16:18:41 core.go:65: data upload success.
[INFO]2022/09/23 16:21:00 core.go:65: data upload success.
[INFO]2022/09/23 16:23:40 core.go:65: data upload success.
